status,reported,description,type,address,occurred
CLOSED,2019-04-12 00:30:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the door of the building.,VANDALISM,HUIT - 38 OXFORD 38 OXFORD ST CAMBRIDGE,"4/12/19
1:00 AM - 1:15 AM"
CLOSED,2019-04-12 01:34:00+00:00,Officers dispatched to take a report of past suspicious activity.,SUSPICIOUS ACTIVITY,LAMONT LIBRARY 11 QUINCY ST CAMBRIDGE,"4/12/19
1:34 AM - 2:29 AM"
CLOSED,2019-04-12 04:03:00+00:00,"Officers dispatched to a complaint of an active alarm clock. Officers arrived and reported that the issue had been        
resolved.",NOISE COMPLAINT,VANDERBILT HALL 107 AVE LOUIS PASTEUR BOSTON,"4/12/19
4:03 AM"
OPEN,2019-04-12 08:47:00+00:00,Officer took a report of fraud.,FRAUD,HARVARD ALUMNI ASSOCIATION 124 MT AUBURN ST CAMBRIDGE,"11/1/16 - 12:00 PM
4/8/19 - 12:00 PM"
OPEN,2019-04-12 11:17:00+00:00,Officer dispatched to take a report of fraud.,FRAUD,GORDON HALL 25 SHATTUCK ST BOSTON,"3/18/19 - 4:05 PM
4/11/19 - 12:00 PM"
CLOSED,2019-04-12 11:30:00+00:00,Officer dispatched to monitor a demonstration that went without incident.,DEMONSTRATION,SACKLER MUSEUM 485 BROADWAY CAMBRIDGE,"4/12/19
11:20 AM - 2:00 PM"
CLOSED,2019-04-12 18:14:00+00:00,"Officer dispatched to a report of a group of individuals on bicycles in the lot. Officer arrived and reported individuals 
gone on arrival.","SKATEBOARD/BIKE
COMPLAINT",25 TRAVIS ST LOT 25 TRAVIS ST ALLSTON,"4/12/19
6:14 PM"
CLOSED,2019-04-13 00:42:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised occupants of apartment 16 to keep the  
noise level down.",NOISE COMPLAINT,SHALER LANE 12 12 SHALER LN CAMBRIDGE,"4/13/19
0:42 AM"
CLOSED,2019-04-13 14:30:00+00:00,Officer dispatched to monitor a demonstration that went without incident.,DEMONSTRATION,MEMORIAL CHURCH 23 HARVARD YARD CAMBRIDGE,"4/13/19
2:00 PM - 2:45 PM"
CLOSED,2019-04-13 14:49:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,EVERETT STREET GARAGE 10 EVERETT ST CAMBRIDGE,"4/13/19
12:00 PM - 12:05 PM"
CLOSED,2019-04-13 16:47:00+00:00,"Officer dispatched to take a report of a stolen black Cannondale bicycle valued at $4,000.00. Shortly thereafter,         
Brookline Police contacted the HUPD and reported that the bicycle had been recovered.",ASSIST BPD - THEFT REPORT,IVY LANE,"4/13/19
4:00 PM - 5:00 PM"
CLOSED,2019-04-13 17:11:00+00:00,Officer dispatched to take a report of a stolen black Trek bicycle valued at $800.00 and cable lock valued at $25.00.,THEFT REPORT,MALKIN ATHLETIC CENTER 39 HOLYOKE ST CAMBRIDGE,"4/13/19
3:00 PM - 5:00 PM"
CLOSED,2019-04-13 19:31:00+00:00,Officer dispatched to take a report of past suspicious activity.,ASSIST CAMBRIDGE POLICE ,BROADWAY ST / FELTON ST,"4/13/19
7:00 PM - 11:00 PM"
CLOSED,2019-04-13 22:47:00+00:00,"Officer dispatched to a report of a possibly intoxicated individual who had piggybacked into the building. Officer arrived
and reported individual gone on arrival.",SUSPICIOUS ACTIVITY,ADAMS HOUSE C - RUSSELL HALL 26 PLYMPTON ST CAMBRIDGE,"4/13/19
10:47 PM"
CLOSED,2019-04-13 23:08:00+00:00,"Officers dispatched to a report of a loud party. Officers arrived and advised occupants of apartment 507 to keep the noise
level down.",LOUD PARTY,SOLDIERS FIELD PARK 01 111 WESTERN AVE ALLSTON,"4/13/19
11:08 PM"
CLOSED,2019-04-14 01:00:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised occupants of apartment 903 to keep the 
noise level down.",NOISE COMPLAINT,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,"4/14/19
1:00 AM"
CLOSED,2019-04-14 09:56:00+00:00,"Officers dispatched to a report of an individual who may have a trespass warning inside the building. Officers arrived,   
located the individual, and reported that the individual in question did not have a trespass warning and was allowed to   
remain in the building.",UNWANTED GUEST,MEMORIAL CHURCH 23 HARVARD YARD CAMBRIDGE,"4/14/19
9:56 AM"
CLOSED,2019-04-14 18:43:00+00:00,"Officer dispatched to a report of individuals skateboarding in the area. Officer arrived, located the individuals, and    
sent them on their way.","SKATEBOARD/BIKE
COMPLAINT",ATHLETICS - MURR CENTER 65 N HARVARD ST ALLSTON,"4/14/19
6:43 PM"
CLOSED,2019-04-15 07:26:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping near the entrance of the building. Officers arrived and     
reported individual gone on arrival.",UNWANTED GUEST,CARPENTER CENTER 24 QUINCY ST CAMBRIDGE,"4/15/19
7:26 AM"
CLOSED,2019-04-15 11:20:00+00:00,"Officers dispatched to a report of an individual causing a disturbance by yelling in the building. Officers arrived and   
reported that the individual was exiting the building on their arrival.",DISTURBANCE,SMITH CAMPUS CENTER - COMMON S 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/15/19
11:20 AM"
CLOSED,2019-04-15 15:31:00+00:00,"Officers dispatched to a report of a suspicious package in the building. Officers arrived and reported that the package   
contained property belonging to a staff member.","SUSPICIOUS MAIL/
PACKAGE/BAG",CENTER FOR ASTROPHYSICS 160 CONCORD AVE CAMBRIDGE,"4/15/19
3:31 PM"
OPEN,2019-04-15 15:51:00+00:00,Officer dispatched to take a report of a bomb threat.,BOMB THREAT,FAY HOUSE 10 GARDEN ST CAMBRIDGE,"4/15/19
3:40 PM"
CLOSED,2019-04-16 08:00:00+00:00,Officer dispatched to take a report of annoying emails.,"ANNOYING
CALLS/TEXTS/EMAILS",WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,"10/11/18 - 5:42 PM
4/13/19 - 12:00 PM"
CLOSED,2019-04-16 08:55:00+00:00,"Officers dispatched to a report of two individuals examining bicycles located behind the building. Officers arrived and   
reported individuals gone on arrival.",SUSPICIOUS ACTIVITY,LARSEN HALL 14 APPIAN WAY CAMBRIDGE,"4/16/19
8:55 AM"
CLOSED,2019-04-16 11:59:00+00:00,"Officer dispatched to a report of an unattended suitcase in front of the building. Officer arrived and reported that the  
suitcase was later claimed by the owner.","SUSPICIOUS MAIL/
PACKAGE/BAG",ANNENBERG HALL 18 KIRKLAND ST CAMBRIDGE,"4/16/19
11:59 AM"
CLOSED,2019-04-16 12:41:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived and reported individual gone on    
arrival.",UNWANTED GUEST,ATHLETICS - MURR CENTER 65 N HARVARD ST ALLSTON,"4/16/19
12:41 PM - 1:02 PM"
CLOSED,2019-04-16 12:43:00+00:00,Officer dispatched to take a report of a previous unwanted guest in the building.,UNWANTED GUEST,WILLIAM JAMES HALL 33 KIRKLAND ST CAMBRIDGE,"3/17/19 - 12:00 PM
4/16/19 - 1:20 PM"
OPEN,2019-04-16 13:58:00+00:00,Officer dispatched to take a report of a threat.,THREAT(S)                               ,175 N HARVARD ST,"4/11/19
12:33 PM - 12:36 PM"
CLOSED,2019-04-16 15:39:00+00:00,"Officers dispatched to a report of an individual causing a disturbance in the area. Officers arrived and reported         
individual gone on arrival.",DISTURBANCE,WINTHROP HOUSE F - GORE HALL 32 MILL ST CAMBRIDGE,"4/16/19
3:30 PM - 4:00 PM"
CLOSED,2019-04-16 15:53:00+00:00,"Officer dispatched to take a report of a removed exterior door handle and interior crash bar from the main door of the    
building.",PROPERTY DAMAGE              ,10 DEWOLFE ST,"4/16/19
0:01 AM - 4:55 AM"
CLOSED,2019-04-16 18:48:00+00:00,"Officers dispatched to a report of an individual behaving erratically and talking to themselves in the area. Officers     
arrived and reported individual gone on arrival.",SUSPICIOUS ACTIVITY,BAKER- BLOOMBERG LIBRARY 25 HARVARD WAY ALLSTON,"4/16/19
6:48 PM"
CLOSED,2019-04-17 04:01:00+00:00,"Officers dispatched to a report of an individual causing a disturbance in front of the building. Officers arrived, located
the individual, and conducted a field interview. The individual was run for wants/warrants with negative results. The     
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,THAYER HALL NORTH 21 HARVARD YARD CAMBRIDGE,"4/17/19
3:30 AM - 4:00 AM"
CLOSED,2019-04-17 11:18:00+00:00,"Officer dispatched to take a report of a stolen black Dell laptop valued at $800.00.                                      
                                                                                                                          
Update 4/19/19: Upon further investigation, this incident has been reclassified from a Theft to Lost Property.",LOST PROPERTY,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,"4/12/19
6:00 PM - 10:00 PM"
CLOSED,2019-04-17 13:10:00+00:00,"Officer dispatched to a report of an unattended suitcase in front of the building. Officer arrived and reported that the  
suitcase had been claimed by the owner.","SUSPICIOUS MAIL/
PACKAGE/BAG",ROCK CENTER 60 N HARVARD ST ALLSTON,"4/17/19
1:10 PM"
OPEN,2019-04-17 13:15:00+00:00,"Officer dispatched to take a report of stolen black headphones valued at $40.00 and a CVS reward bucks receipt valued at  
$10.00.",THEFT REPORT,BENEFITS OFFICE 114 MT AUBURN ST CAMBRIDGE,"4/10/19 - 12:55 PM
4/17/19 - 2:25 PM"
CLOSED,2019-04-17 15:15:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived and reported individual gone on 
arrival.",UNWANTED GUEST,HURLBUT HALL NORTH 2 PRESCOTT ST CAMBRIDGE,"4/17/19
3:15 PM"
CLOSED,2019-04-17 16:03:00+00:00,Officer took a walk-in report of harassment.,ASSIST SOMERVILLE POLICE,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,"11/1/18 - 3:00 PM
4/17/19 - 5:30 PM"
CLOSED,2019-04-17 21:07:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived and reported individual gone on    
arrival.",UNWANTED GUEST,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,"4/17/19
9:07 PM"
CLOSED,2019-04-17 23:38:00+00:00,"Officer dispatched to a report of an individual knocking on the window of a motor vehicle. Officer arrived and reported   
that the incident had been a result of a misunderstanding, however, the issue had been resolved. Shortly thereafter,      
Cambridge Police arrived on scene and took jurisdiction over the incident.",ASSIST CAMBRIDGE POLICE ,5 BRYANT ST,"4/17/19
11:38 PM"
OPEN,2019-04-18 08:24:00+00:00,"Officer dispatched to take a report of a stolen black leather wallet valued at $100.00, a United States passport, and     
credit/debit cards.",THEFT REPORT,ATHLETICS - OHIRI FIELD 82 N HARVARD ST ALLSTON,"4/17/19
4:00 PM - 9:00 PM"
CLOSED,2019-04-18 11:15:00+00:00,"Officers dispatched to a report of an unwanted guest refusing to leave the building. Officers arrived, located the        
individual, and sent them on their way.",UNWANTED GUEST,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/18/19
11:15 AM"
OPEN,2019-04-18 11:35:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $20.00.,THEFT REPORT,BENEFITS OFFICE 114 MT AUBURN ST CAMBRIDGE,"4/16/19 - 5:00 PM
4/18/19 - 10:30 AM"
OPEN,2019-04-18 12:12:00+00:00,"Officer dispatched to take a report of two stolen packages containing a Benq computer monitor valued at $175.00 and a     
computer charger valued at $20.00.",THEFT REPORT,9-13A WARE ST 13-A WARE ST CAMBRIDGE,"4/17/19 - 8:30 PM
4/18/19 - 10:00 AM"
OPEN,2019-04-18 12:14:00+00:00,Officer dispatched to take a report of stolen Apple Airpods valued at $150.00.,THEFT REPORT,BENEFITS OFFICE 114 MT AUBURN ST CAMBRIDGE,"4/18/19
10:30 AM"
CLOSED,2019-04-18 13:23:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and       
conducted a field interview. The individual was then issued a verbal trespass warning for Wasserstein Hall and sent on    
their way.",TRESPASS WARNING,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,"4/18/19
1:00 PM - 2:00 PM"
OPEN,2019-04-18 14:31:00+00:00,Officer took a report of a past indecent assault.,INDECENT ASSAULT,LOWELL HOUSE DINING HALL 10 HOLYOKE PL CAMBRIDGE,"4/18/19
2:31 PM"
CLOSED,2019-04-18 15:39:00+00:00,Officer dispatched to take a report of ongoing harassment.,HARASSMENT,JEFFERSON LAB 17 OXFORD ST CAMBRIDGE,"12/17/18 - 12:00 PM
4/18/19 - 3:39 PM"
CLOSED,2019-04-19 03:51:00+00:00,"Officer dispatched to a report of a noise complaint. Officer and Cambridge Police arrived and reported that the music     
would be shut off for the night.",ASSIST CAMBRIDGE POLICE,FLY CLUB 2 HOLYOKE PL CAMBRIDGE,"4/19/19
3:50 AM - 4:05 AM"
CLOSED,2019-04-19 08:30:00+00:00,Officer dispatched to take a report of a past assault and battery.,ASSIST BOSTON POLICE,CENTER FOR LIFE SCIENCES BUILD 3 BLACKFAN CIRCLE BOSTON,"4/18/19
4:00 PM - 4:05 PM"
CLOSED,2019-04-19 10:52:00+00:00,Officer took a walk-in report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,OXFORD STREET GARAGE 52 OXFORD ST CAMBRIDGE,"4/18/19 - 4:00 PM
4/19/19 - 7:30 AM"
CLOSED,2019-04-20 03:55:00+00:00,"Officers dispatched to a report of two individuals sleeping in the building. Officers arrived, located the individuals,   
and conducted a field interview. The individuals were run for wants/warrants with negative results. The individuals were  
then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,"4/20/19
3:55 AM - 4:40 AM"
CLOSED,2019-04-20 05:36:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the area. Officers arrived, located the individual, and  
sent them on their way.",UNWANTED GUEST,TAUBMAN CENTER 15 ELIOT ST CAMBRIDGE,"4/20/19
5:36 AM"
CLOSED,2019-04-20 09:21:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT ,HARVARD WAY,"4/20/19
9:20 AM - 9:24 AM"
CLOSED,2019-04-20 09:57:00+00:00,"Officer while on patrol observed an unwanted guest in the building. Officer approached the individual and conducted a     
field interview. The individual was run for wants/warrants with negative results. The individual was then issued a verbal 
trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,SMITH CAMPUS CENTER - ARCADE 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/20/19
9:57 AM - 10:00 AM"
CLOSED,2019-04-20 10:12:00+00:00,"Officer while on patrol observed an unwanted guest sleeping in the alleyway behind the building. Officer approached the   
individual and conducted a field interview. The individual was run for wants/warrants with negative results. The          
individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING             ,8 STORY ST,"4/20/19
10:00 AM - 10:20 AM"
CLOSED,2019-04-20 13:15:00+00:00,"Officers dispatched to a report of an individual who may not have authorization to be in the building. Officer arrived and
reported individual gone on arrival.",SUSPICIOUS ACTIVITY,ANNENBERG HALL 18 KIRKLAND ST CAMBRIDGE,"4/20/19
1:15 PM"
CLOSED,2019-04-21 01:17:00+00:00,"Officer dispatched to a report of a noise complaint. Officer arrived and reported that the music would be shut off for the
night.",ASSIST CAMBRIDGE POLICE,FLY CLUB 2 HOLYOKE PL CAMBRIDGE,"4/21/19
1:10 AM - 1:25 AM"
CLOSED,2019-04-21 13:03:00+00:00,"Officer dispatched to a report of an unwanted guest. Officer arrived, located the individual, and sent them on their way.",UNWANTED GUEST,LAW SCHOOL PROJECT OFFICES 125 MT AUBURN ST CAMBRIDGE,"4/21/19
1:03 PM"
CLOSED,2019-04-21 15:13:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and sent  
them on their way.",UNWANTED GUEST,ATHLETICS - BLODGETT POOL 79 N HARVARD ST ALLSTON,"4/21/19
3:10 PM - 3:35 PM"
CLOSED,2019-04-21 16:47:00+00:00,"Officers dispatched to a report of an individual who may not have authorization to be in the building. Officers arrived   
and reported individual gone on arrival.",SUSPICIOUS ACTIVITY,CENTER FOR GOVT AND INTER STUD 1730 CAMBRIDGE ST CAMBRIDGE,"4/21/19
4:47 PM"
OPEN,2019-04-21 18:55:00+00:00,Officer dispatched to a report of an assault and battery.,ASSAULT REPORT,SMITH CENTER PARKING GARAGE 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/21/19
6:51 PM - 7:12 PM"
CLOSED,2019-04-22 01:17:00+00:00,"Officer dispatched to a report of a noise complaint. Officer arrived and reported that an initiation event was occurring  
and that the involved parties agreed to move inside for the remainder of the event.",NOISE COMPLAINT,ADAMS HOUSE - CLAVERLY HALL 63 MT AUBURN ST CAMBRIDGE,"4/22/19
1:17 AM"
OPEN,2019-04-22 09:17:00+00:00,"Officer dispatched to take a report of two stolen silver Apple MacBook Pro laptops valued at $2,600.00 and two white Apple
laptop chargers valued at $20.00.",THEFT REPORT                       ,8 STORY ST,"4/19/19 - 5:40 PM
4/22/19 - 8:00 AM"
CLOSED,2019-04-22 10:09:00+00:00,Officer dispatched to take a report of annoying telephone calls.,"ANNOYING
CALLS/TEXTS/EMAILS",GUND HALL 48 QUINCY ST CAMBRIDGE,"4/19/19 - 10:00 AM
4/22/19 - 9:45 AM"
CLOSED,2019-04-23 10:28:00+00:00,"Officer dispatched to take a report of an individual who had previously been observed on the fire escape. Officer arrived 
and reported that there were no barriers or signs prohibiting access to the fire escape.",SUSPICIOUS ACTIVITY,TERRY TERRACE - 15 EVERETT 15 EVERETT ST CAMBRIDGE,"4/23/19
9:50 AM - 10:50 AM"
CLOSED,2019-04-23 12:03:00+00:00,Officer dispatched to monitor a possible demonstration. Officer arrived and reported that no demonstration was occurring.,DEMONSTRATION,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,"4/23/19
12:15 PM"
CLOSED,2019-04-23 13:37:00+00:00,Officer took a walk-in report of an assault.,ASSAULT REPORT,381-383 WESTERN AVE 381 WESTERN AVE ALLSTON,"1/15/19 - 12:00 PM
4/23/19 - 8:00 AM"
CLOSED,2019-04-23 15:54:00+00:00,Officer dispatched to take a report of a suspicious telephone call and email.,SUSPICIOUS ACTIVITY,LITTAUER HKS 79 JFK ST CAMBRIDGE,"4/19/19 - 4:22 PM
4/23/19 - 3:45 PM"
CLOSED,2019-04-23 16:29:00+00:00,"Officers dispatched to a report of an unwanted guest in the building. Officers arrived, located the individual, and       
conducted a field interview. The individual was run for wants/warrants with negative results. The individual was then     
issued a verbal trespass warning for Andover Hall and sent on their way.",TRESPASS WARNING,ANDOVER HALL 45 FRANCIS AVE CAMBRIDGE,"4/23/19
4:33 PM - 4:50 PM"
CLOSED,2019-04-23 17:31:00+00:00,"Officer dispatched to take a report of a stolen Vittoria bicycle tire valued at $50.00. The reporting individual informed 
the officer that the rest of the bicycle was still secured to the bike rack in front of the building.",THEFT REPORT,MATTHEWS HALL NORTH 9 HARVARD YARD CAMBRIDGE,"4/22/19 - 6:00 PM
4/23/19 - 3:30 PM"
CLOSED,2019-04-24 15:30:00+00:00,Officer dispatched to take a report of stolen clothing valued at $800.00.,THEFT REPORT,SOLDIERS FIELD PARK 01 111 WESTERN AVE ALLSTON,"4/24/19
2:20 PM - 3:20 PM"
CLOSED,2019-04-24 15:35:00+00:00,"Officer dispatched to a report of an individual engaging in suspicious activity in the restroom of the building. Officer  
arrived and reported that the request for service was a result of a misunderstanding and that the individual was exiting  
the restroom on arrival.",SUSPICIOUS ACTIVITY,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/24/19
3:35 PM - 3:45 PM"
CLOSED,2019-04-24 15:43:00+00:00,"Officer dispatched to take a report of a stolen black Raleigh Cadent bicycle valued at $80.00, a combination lock valued  
at $10.00, and a black helmet valued at $10.00.",THEFT REPORT,WINTHROP HOUSE A - STANDISH HA 32 MILL ST CAMBRIDGE,"4/23/19 - 9:00 PM
4/24/19 - 11:30 AM"
CLOSED,2019-04-24 17:18:00+00:00,"Officers dispatched to a report of several individuals consuming alcoholic beverages in the area. Officers arrived and    
reported several individuals smoking cigars. Officers advised the individuals to extinguish their cigars and sent them on 
their way.",SUSPICIOUS ACTIVITY,JARVIS FIELD 13 EVERETT ST CAMBRIDGE,"4/24/19
5:18 PM"
CLOSED,2019-04-24 18:07:00+00:00,"Officers dispatched to a report of an individual smoking cigarettes near the entrance of the building. Officers arrived,  
located the individual, and conducted a field interview. At the conclusion of the interview, the individual was advised   
not to smoke cigarettes within 20-feet of the building.",FIELD INTERVIEW,SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,"4/24/19
5:50 PM - 6:30 PM"
CLOSED,2019-04-24 19:35:00+00:00,"Officers dispatched to a report of several individuals consuming alcoholic beverages on the roof of the building. Officers
arrived and reported no individuals on the roof.",ASSIST CAMBRIDGE POLICE,PHOENIX CLUB 72 MT AUBURN ST CAMBRIDGE,"4/24/19
7:30 PM - 8:15 PM"
CLOSED,2019-04-24 21:35:00+00:00,"Officer while on patrol observed an unwanted guest in the building. Officer approached the individual and conducted a     
field interview. The individual was run for wants/warrants with negative results. The individual was then issued a verbal 
trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,JEFFERSON LAB 17 OXFORD ST CAMBRIDGE,"4/24/19
9:35 PM"
CLOSED,2019-04-25 01:57:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised occupants of room 410 to keep the noise
level down.",NOISE COMPLAINT,SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,"4/25/19
1:57 AM"
CLOSED,2019-04-25 07:29:00+00:00,"Officers dispatched to a report of two individuals arguing in the area. Officers arrived and reported individuals gone on 
arrival.",DISTURBANCE,MATTHEWS HALL SOUTH 9 HARVARD YARD CAMBRIDGE,"4/25/19
7:29 AM"
CLOSED,2019-04-25 14:53:00+00:00,"Officer while on patrol took a report of a stole gray Coach wallet valued at $30.00, $10.00 in U.S. currency, a license,  
and credit/debit cards.",THEFT REPORT,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/25/19
2:30 PM"
CLOSED,2019-04-25 16:42:00+00:00,Officer while on patrol observed a film crew in the area. Officer approached the film crew and reported that there had,REMOVE GROUP,HARVARD YARD 1 PEABODY ST CAMBRIDGE,"4/25/19
4:42 PM"
CLOSED,2019-04-25 16:50:00+00:00,Officer dispatched to take a report of a stolen package containing a passport.,THEFT REPORT,PEABODY TERRACE 24 900 MEMORIAL DR CAMBRIDGE,"4/19/19 - 11:07 AM
4/23/19 - 6:00 AM"
CLOSED,2019-04-25 18:18:00+00:00,Officers dispatched to monitor a demonstration that went without incident.,DEMONSTRATION,MEMORIAL CHURCH 23 HARVARD YARD CAMBRIDGE,"4/25/19
6:13 PM - 6:40 PM"
CLOSED,2019-04-26 01:19:00+00:00,"Officer dispatched to a report of loud music and individuals breaking glass outside of the building. Officer and Cambridge
Police arrived and advised the occupants to go inside and keep the noise level down. Shortly thereafter, the officer was  
again dispatched to a report of a noise complaint. Officer and Cambridge Police arrived and, at this time, advised all    
occupants to go home and turn the music completely off for the night.",ASSIST CAMBRIDGE POLICE,LAMPOON 44 BOW ST CAMBRIDGE,"4/26/19
1:20 AM - 2:40 AM"
CLOSED,2019-04-26 15:04:00+00:00,Officers dispatched to monitor a demonstration that went without incident.,DEMONSTRATION,HARVARD YARD 1 PEABODY ST CAMBRIDGE,"4/26/19
2:30 PM - 5:00 PM"
CLOSED,2019-04-27 00:25:00+00:00,"Officers dispatched to a report of a noise complaint. Officers arrived and advised occupants of room 608 to keep the noise
level down.",NOISE COMPLAINT,SOLDIERS FIELD PARK 01 111 WESTERN AVE ALLSTON,"4/27/19
0:25 AM"
CLOSED,2019-04-27 11:55:00+00:00,"Officer while on patrol observed two individuals distributing flyers outside of an event in the building. Officer reported
that the flyers were distributed without incident.",DEMONSTRATION,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,"4/27/19
12:00 PM - 12:30 PM"
CLOSED,2019-04-27 12:07:00+00:00,Officers took a report of a threat.,THREAT(S),SOLDIERS FIELD PARK 06 111 WESTERN AVE ALLSTON,"4/27/19
12:00 PM - 12:30 PM"
OPEN,2019-04-27 12:30:00+00:00,"Officer dispatched to take a report of a stolen black backpack valued at $100.00 and a silver Apple laptop valued at      
$1,000.00.",THEFT REPORT,LEVERETT HOUSE TOWERS F 40 DEWOLFE ST CAMBRIDGE,"4/25/19 - 6:30 PM
4/26/19 - 8:00 AM"
CLOSED,2019-04-28 09:31:00+00:00,"Officer dispatched to a report of an individual engaging in suspicious activity near the ATM. Officer arrived and reported
individual gone on arrival.",SUSPICIOUS ACTIVITY,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/28/19
9:31 AM"
CLOSED,2019-04-28 10:11:00+00:00,"Officer dispatched to a report of three individuals playing loud music and causing a disturbance in the building. Officer 
arrived, located two of the individuals, and reported that they were in the process of leaving the area. Officer then     
observed the third individual exiting a secured restroom in the building and conducted a field interview. During the field
interview, the officer reported that the individual engaged in agitated and disrespectful behavior. The individual was run
for wants/warrants with negative results. The individual was then issued a verbal trespass warning for all Harvard        
University property and sent on their way.",TRESPASS WARNING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,"4/28/19
10:11 AM - 10:35 AM"
OPEN,2019-04-28 16:31:00+00:00,Officer dispatched to take a report of past suspicious activity.,SUSPICIOUS ACTIVITY,ST PAUL CHURCH 29 MT AUBURN ST CAMBRIDGE,"4/28/19
10:00 AM - 12:30 PM"
OPEN,2019-04-28 16:42:00+00:00,"Officer dispatched to take a report of a stolen silver Apple Macbook Pro laptop valued at $1,500.00.",THEFT REPORT,CRONKHITE GRADUATE CENTER 84 BRATTLE ST CAMBRIDGE,"4/25/19 - 10:00 PM
4/26/19 - 2:00 AM"
CLOSED,2019-04-28 16:59:00+00:00,"Officer dispatched to a report of three juveniles who had stolen tools from the construction site. While on route, officer
reported that Boston Police had stopped the individuals in the immediate area and were in the process of escorting them",THEFT REPORT,ATHLETICS - STADIUM 79 N HARVARD ST ALLSTON,"4/28/19
4:57 PM - 6:12 PM"
CLOSED,2019-04-29 12:52:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,VANDALISM                              ,9 TRAVIS ST,"4/26/19 - 12:50 PM
4/29/19 - 12:55 PM"
CLOSED,2019-04-29 13:16:00+00:00,"Officer dispatched to take a report of a stolen blue leather jacket valued at $100.00, an HUID card, a license, keys, and 
credit/debit cards.",ASSIST CAMBRIDGE POLICE,FLY CLUB 2 HOLYOKE PL CAMBRIDGE,"4/27/19 - 11:00 PM
4/28/19 - 1:00 AM"
CLOSED,2019-04-29 14:18:00+00:00,Officer dispatched to take a report of property damage.,PROPERTY DAMAGE              ,33 ELMWOOD AVE,"4/29/19
2:13 PM - 2:27 PM"
CLOSED,2019-04-29 16:09:00+00:00,Officer dispatched to take a report of vandalism done to the window of a motor vehicle.,VANDALISM                              ,5 COWPERTHWAITE ST,"4/9/19
8:30 AM - 6:00 PM"
CLOSED,2019-04-29 17:33:00+00:00,Officer dispatched to take a report of a past assault and battery.,ASSIST CAMBRIDGE POLICE,JOHNSTON GATE 1465 MASSACHUSETTS AVE CAMBRIDGE,"4/29/19
5:25 PM - 5:45 PM"
CLOSED,2019-04-29 17:55:00+00:00,"Officer dispatched to take a report of a stolen silver iPhone X valued at $1,000.00 and a black leather telephone case    
valued at $50.00.",THEFT REPORT,CENTER FOR GOVT AND INTER STUD 1737 CAMBRIDGE ST CAMBRIDGE,"4/29/19
11:40 AM - 3:00 PM"
